goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapInsert/100000     	    6187	   1932502 ns/op	 2364670 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6187	   1935730 ns/op	 2364689 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6170	   1935182 ns/op	 2364690 B/op	     257 allocs/op
BenchmarkMapInsert/100000     	    6156	   1931288 ns/op	 2364671 B/op	     257 allocs/op
BenchmarkMapInsert/1000000    	     302	  39022813 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     285	  39773808 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     306	  38975007 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     304	  39180378 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     307	  40189959 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     297	  39889414 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     306	  39061312 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     304	  39357718 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     297	  41364711 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     291	  39565856 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     306	  39388430 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     297	  39238764 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     306	  40381019 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     303	  38807610 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapInsert/1000000    	     309	  39098937 ns/op	37832704 B/op	    4097 allocs/op
BenchmarkMapGetHit/10         	215571811	        55.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215539402	        55.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215668221	        55.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215919895	        56.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215599063	        55.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	210498781	        55.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215563723	        66.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215497078	        55.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	214697713	        55.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215741802	        55.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215614339	        56.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215595776	        55.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215663824	        55.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215581755	        56.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10         	215587152	        55.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19688244	       597.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	20611795	       603.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19294735	       621.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	20519103	       615.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	20206426	       616.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	18671778	       595.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19459317	       595.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19865155	       595.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19153795	       704.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	17724781	       609.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19350186	       622.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19636502	       611.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19563276	       597.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100        	19295025	       595.6 ns/op	       0 B/op	       0 allocs/op
